year,country,product,production_rate
2016,Argentina,barley,2.242350526952374
2017,Argentina,barley,2.59234357563197
2018,Argentina,barley,2.8317782151301913
2019,Argentina,barley,2.796628721541156
2020,Argentina,barley,2.799367359267983
2021,Argentina,barley,2.7941503371437424
2022,Argentina,barley,2.7970437748720864
2023,Argentina,barley,2.805547452997799
2024,Argentina,barley,2.818265044687844
2025,Argentina,barley,2.821017396818755
2026,Argentina,barley,2.833921436355145
2027,Argentina,barley,2.846470891293148
2028,Argentina,barley,2.8544572119165914
2016,Australia,barley,9.177329156672352
2017,Australia,barley,6.168945942011908
2018,Australia,barley,5.521967519503872
2019,Australia,barley,6.280784807355516
2020,Australia,barley,6.274818590948892
2021,Australia,barley,6.255178406633749
2022,Australia,barley,6.234825937196937
2023,Australia,barley,6.257458036116782
2024,Australia,barley,6.332698855964855
2025,Australia,barley,6.449440699795369
2026,Australia,barley,6.547402833272793
2027,Australia,barley,6.649278722308089
2028,Australia,barley,6.727541291795354
2016,Brazil,barley,0.2548125598809516
2017,Brazil,barley,0.19546547816262452
2018,Brazil,barley,0.24424087105497896
2019,Brazil,barley,0.24080560420315236
2020,Brazil,barley,0.2450464637962517
2021,Brazil,barley,0.241827379709403
2022,Brazil,barley,0.24278500484901183
2023,Brazil,barley,0.24329771154305108
2024,Brazil,barley,0.24435062668361532
2025,Brazil,barley,0.24581750665210936
2026,Brazil,barley,0.24648435472990501
2027,Brazil,barley,0.24793920659453889
2028,Brazil,barley,0.24938134243894955
2016,Canada,barley,6.006101911433949
2017,Canada,barley,5.475805948527424
2018,Canada,barley,6.22991207328642
2019,Canada,barley,6.232897329246935
2020,Canada,barley,6.230017852415506
2021,Canada,barley,6.278081278249682
2022,Canada,barley,6.319767247433368
2023,Canada,barley,6.382753042878736
2024,Canada,barley,6.413051353149226
2025,Canada,barley,6.461862329120875
2026,Canada,barley,6.483835815474029
2027,Canada,barley,6.4721792890262755
2028,Canada,barley,6.484554342752275
2016,China,barley,1.1904842797638058
2017,China,barley,1.2476519882720714
2018,China,barley,1.3096974244977133
2019,China,barley,1.3141692206654991
2020,China,barley,1.360992132718794
2021,China,barley,1.4085266043798375
2022,China,barley,1.4547035414506906
2023,China,barley,1.4922701599002943
