crop_year,area_harvest,yield,production,imports,exports,total_consumption,food_seed_and_industrial_use,feed_use,ending_stocks,country
 2016/17,870,3.79,3300,0,2556,1100,1000,100,447,Argentina
 2017/18,935,4,3740,0,2600,1200,1100,100,387,Argentina
 2018/19,1000,4,4000,0,2800,1200,1100,100,387,Argentina
 2019/20,1016,4.02,4088,0,2870,1217,1116,101,388,Argentina
 2020/21,1019,4.05,4124,0,2888,1235,1133,102,389,Argentina
 2021/22,1019,4.07,4148,0,2896,1253,1150,103,387,Argentina
 2022/23,1021,4.1,4182,0,2910,1271,1167,104,388,Argentina
 2023/24,1027,4.12,4232,0,2943,1288,1184,105,389,Argentina
 2024/25,1033,4.14,4279,0,2973,1305,1200,105,390,Argentina
 2025/26,1036,4.17,4315,0,2992,1322,1216,106,391,Argentina
 2026/27,1043,4.19,4369,0,3028,1339,1233,107,393,Argentina
 2027/28,1049,4.21,4420,0,3062,1356,1248,108,395,Argentina
 2028/29,1053,4.24,4464,0,3090,1373,1265,108,396,Argentina
 2016/17,4834,2.79,13506,0,9190,3500,1300,2200,1884,Australia
 2017/18,3900,2.28,8900,0,6500,3100,1300,1800,1184,Australia
 2018/19,4000,1.95,7800,0,5800,2500,1300,1200,684,Australia
 2019/20,4158,2.21,9181,0,5941,2916,1295,1621,1008,Australia
 2020/21,4131,2.24,9244,0,6041,2933,1299,1634,1278,Australia
 2021/22,4094,2.27,9286,0,6162,2947,1301,1646,1455,Australia
 2022/23,4074,2.29,9322,0,6304,2966,1310,1656,1507,Australia
 2023/24,4074,2.32,9439,0,6428,2985,1319,1666,1533,Australia
 2024/25,4120,2.33,9615,0,6589,3002,1328,1674,1557,Australia
 2025/26,4179,2.36,9865,0,6831,3016,1334,1682,1575,Australia
 2026/27,4247,2.38,10094,0,7036,3033,1342,1691,1600,Australia
 2027/28,4293,2.41,10325,0,7258,3051,1350,1701,1616,Australia
 2028/29,4341,2.42,10521,0,7439,3064,1355,1709,1634,Australia
 2016/17,96,3.91,375,691,0,1050,950,100,190,Brazil
 2017/18,108,2.61,282,600,0,930,870,60,142,Brazil
 2018/19,120,2.88,345,550,0,910,820,90,127,Brazil
 2019/20,121,2.92,352,565,0,916,826,90,128,Brazil
 2020/21,123,2.94,361,561,0,921,831,90,129,Brazil
 2021/22,121,2.97,359,568,0,926,836,90,129,Brazil
 2022/23,121,3,363,569,0,931,841,90,130,Brazil
 2023/24,121,3.04,367,569,0,935,845,90,132,Brazil
 2024/25,121,3.07,371,569,0,939,849,90,133,Brazil
 2025/26,121,3.11,376,569,0,944,854,90,134,Brazil
 2026/27,121,3.14,380,570,0,949,859,90,135,Brazil
 2027/28,121,3.18,385,570,0,954,864,90,136,Brazil
 2028/29,121,3.22,390,570,0,959,869,90,137,Brazil
 2016/17,2266,3.9,8839,64,1546,6760,1260,5500,2120,Canada
 2017/18,2114,3.74,7900,59,2021,6808,1200,5608,1250,Canada
 2018/19,2350,3.74,8800,100,2200,6800,1200,5600,1150,Canada
 2019/20,2426,3.76,9111,100,2383,6799,1198,5601,1179,Canada
 2020/21,2436,3.77,9178,100,2536,6728,1194,5534,1193,Canada
 2021/22,2464,3.78,9320,101,2745,6668,1189,5479,1201,Canada
 2022/23,2486,3.8,9449,101,2945,6600,1182,5418,1206,Canada
 2023/24,2531,3.8,9628,101,3147,6575,1185,5390,1213,Canada
 2024/25,2555,3.81,9737,101,3334,6498,1187,5311,1219,Canada
 2025/26,2585,3.82,9884,101,3560,6418,1181,5237,1226,Canada
 2026/27,2609,3.83,9996,102,3742,6351,1182,5169,1231,Canada
 2027/28,2615,3.84,10050,102,3871,6281,1179,5102,1231,Canada
 2028/29,2629,3.86,10141,102,4034,6209,1175,5034,1231,Canada
 2016/17,429,4.08,1752,8104,0,9800,4000,5800,597,China
 2017/18,430,4.19,1800,8200,0,10300,3800,6500,297,China
 2018/19,450,4.11,1850,9500,0,11100,3900,7200,547,China
 2019/20,466,4.12,1921,9527,0,11535,3955,7580,460,China
 2020/21,484,4.14,2005,9845,0,11900,4061,7839,410,China
 2021/22,503,4.16,2091,10132,0,12214,4181,8033,419,China
 2022/23,522,4.17,2175,10528,0,12693,4416,8277,429,China
 2023/24,538,4.18,2251,10781,0,13023,4488,8535,438,China
 2024/25,556,4.2,2334,11168,0,13492,4679,8813,448,China
 2025/26,571,4.21,2406,11517,0,13913,4870,9043,458,China
 2026/27,585,4.23,2472,11778,0,14240,4943,9297,468,China
 2027/28,595,4.24,2524,12097,0,14611,5076,9535,478,China
 2028/29,609,4.26,2592,12420,0,15002,5235,9767,488,China
 2016/17,83,1.3,108,69,0,177,50,127,0,Egypt
 2017/18,83,1.3,108,21,0,129,50,79,0,Egypt
 2018/19,83,1.3,108,20,0,128,50,78,0,Egypt
 2019/20,84,1.31,110,21,0,132,52,79,0,Egypt
 2020/21,85,1.31,111,24,0,135,54,81,0,Egypt
 2021/22,84,1.31,111,26,0,137,56,81,0,Egypt
 2022/23,84,1.32,111,28,0,139,57,82,0,Egypt
 2023/24,85,1.32,112,30,0,141,59,83,0,Egypt
 2024/25,85,1.32,112,32,0,144,61,83,0,Egypt
 2025/26,84,1.33,112,34,0,146,62,84,0,Egypt
 2026/27,85,1.33,113,36,0,148,64,84,0,Egypt
 2027/28,85,1.34,113,38,0,151,65,85,0,Egypt
 2028/29,85,1.34,114,40,0,153,67,86,0,Egypt
 2016/17,12324,4.87,59978,398,5667,55100,15000,40100,5621,EU
 2017/18,12141,4.86,59064,450,5899,54200,15000,39200,5036,EU
 2018/19,12100,4.73,57250,500,5300,52400,15100,37300,5086,EU
 2019/20,12071,4.87,58732,500,5457,53726,15179,38547,5135,EU
 2020/21,12039,4.89,58832,500,5453,53839,15228,38611,5175,EU
 2021/22,12008,4.91,58915,500,5546,53828,15270,38558,5216,EU
 2022/23,11985,4.93,59050,500,5640,53867,15327,38540,5259,EU
 2023/24,11964,4.95,59200,500,5817,53843,15368,38475,5299,EU
 2024/25,11933,4.97,59279,500,6069,53673,15402,38271,5336,EU
 2025/26,11905,4.99,59366,500,6243,53585,15433,38152,5374,EU
 2026/27,11882,5.01,59493,500,6385,53569,15466,38103,5413,EU
 2027/28,11849,5.03,59564,500,6494,53531,15496,38035,5452,EU
 2028/29,11823,5.05,59673,500,6661,53472,15525,37947,5492,EU
 2016/17,589,2.44,1440,388,1,1900,1400,500,173,India
 2017/18,656,2.67,1750,300,1,2000,1500,500,222,India
 2018/19,677,2.61,1770,100,50,1900,1400,500,142,India
 2019/20,682,2.62,1787,159,48,1898,1389,509,142,India
 2020/21,683,2.63,1796,175,47,1924,1408,516,142,India
 2021/22,683,2.64,1801,187,46,1943,1420,522,142,India
 2022/23,683,2.65,1807,195,45,1957,1428,529,142,India
 2023/24,682,2.66,1812,199,43,1968,1432,536,142,India
 2024/25,681,2.66,1814,204,42,1976,1433,543,143,India
 2025/26,679,2.67,1815,210,41,1984,1435,549,143,India
 2026/27,678,2.68,1817,216,40,1993,1436,557,143,India
 2027/28,676,2.69,1818,220,39,1999,1435,563,143,India
 2028/29,675,2.69,1819,224,38,2005,1435,570,143,India
 2016/17,1611,1.86,3000,1200,0,4500,300,4200,458,Iran
 2017/18,1600,1.94,3100,3200,0,6000,300,5700,758,Iran
 2018/19,1600,1.94,3100,3000,0,6100,300,5800,758,Iran
 2019/20,1636,1.96,3201,3277,0,6281,345,5936,955,Iran
 2020/21,1641,1.98,3243,3369,0,6457,352,6105,1110,Iran
 2021/22,1638,2,3270,3450,0,6617,358,6259,1213,Iran
 2022/23,1639,2.02,3304,3561,0,6812,365,6447,1266,Iran
 2023/24,1639,2.04,3338,3664,0,6974,374,6600,1294,Iran
 2024/25,1623,2.06,3338,3786,0,7103,382,6721,1315,Iran
 2025/26,1612,2.08,3349,3917,0,7256,386,6870,1325,Iran
 2026/27,1609,2.1,3376,4026,0,7382,392,6990,1345,Iran
 2027/28,1600,2.12,3390,4109,0,7490,399,7091,1354,Iran
 2028/29,1597,2.14,3419,4191,0,7601,405,7196,1363,Iran
 2016/17,1200,1.29,1550,5,0,1550,300,1250,85,Iraq
