calendar_year,slaughter,yield,production,imports,exports,total_consumption,ending_stocks,country
2016,11800,225,2650,0,216,2434,0,Argentina
2017,12600,225,2840,0,293,2547,0,Argentina
2018,13000,227,2950,0,500,2450,0,Argentina
2019,13200,227,3000,0,575,2425,0,Argentina
2020,13410,228,3053,0,601,2452,0,Argentina
2021,13498,228,3076,0,610,2466,0,Argentina
2022,13599,228,3106,0,627,2479,0,Argentina
2023,13671,229,3129,0,646,2484,0,Argentina
2024,13754,229,3154,0,666,2488,0,Argentina
2025,13828,230,3178,0,689,2489,0,Argentina
2026,13910,230,3202,0,714,2488,0,Argentina
2027,14016,231,3232,0,741,2491,0,Argentina
2028,14097,231,3256,0,766,2490,0,Argentina
2016,7830,271,2125,13,1480,684,0,Australia
2017,7572,284,2149,13,1485,677,0,Australia
2018,8250,279,2300,13,1630,683,0,Australia
2019,7800,279,2180,13,1510,683,0,Australia
2020,7747,286,2212,13,1534,691,0,Australia
2021,7746,287,2220,13,1536,697,0,Australia
2022,7785,288,2241,13,1549,705,0,Australia
2023,7802,289,2254,14,1556,712,0,Australia
2024,7819,290,2268,14,1563,719,0,Australia
2025,7862,291,2290,14,1578,726,0,Australia
2026,7889,292,2307,14,1589,732,0,Australia
2027,7916,294,2324,14,1600,738,0,Australia
2028,7944,295,2341,14,1612,743,0,Australia
2016,37595,247,9284,66,1698,7652,0,Brazil
2017,38723,247,9550,56,1856,7750,0,Brazil
2018,39505,251,9900,50,2100,7850,0,Brazil
2019,40735,250,10200,45,2200,8045,0,Brazil
2020,41083,253,10393,45,2347,8091,0,Brazil
2021,41442,255,10551,45,2431,8165,0,Brazil
2022,41854,256,10724,45,2506,8263,0,Brazil
2023,42252,258,10895,46,2579,8362,0,Brazil
2024,42656,259,11069,47,2657,8459,0,Brazil
2025,42917,261,11207,47,2697,8557,0,Brazil
2026,43308,263,11380,48,2765,8663,0,Brazil
2027,43650,264,11543,48,2832,8759,0,Brazil
2028,43976,266,11704,49,2900,8853,0,Brazil
2016,3092,365,1130,243,441,938,35,Canada
2017,3295,364,1201,229,465,970,30,Canada
2018,3400,365,1240,240,500,970,40,Canada
2019,3405,366,1245,250,515,980,40,Canada
2020,3425,366,1255,256,514,996,40,Canada
2021,3435,367,1262,257,511,1008,41,Canada
2022,3446,369,1272,258,513,1017,41,Canada
2023,3457,370,1280,259,516,1023,41,Canada
2024,3467,372,1288,260,517,1031,41,Canada
2025,3478,372,1294,261,517,1037,41,Canada
2026,3489,373,1300,261,518,1043,41,Canada
2027,3500,372,1303,262,518,1047,41,Canada
2028,3510,372,1307,263,518,1052,41,Canada
2016,     --,     --,630,117,172,575,0,Central AM & Carribean
2017,     --,     --,613,128,204,537,0,Central AM & Carribean
2018,     --,     --,632,139,195,576,0,Central AM & Carribean
2019,     --,     --,639,150,188,601,0,Central AM & Carribean
2020,     --,     --,643,153,186,611,0,Central AM & Carribean
2021,     --,     --,652,155,182,626,0,Central AM & Carribean
2022,     --,     --,655,158,181,633,0,Central AM & Carribean
2023,     --,     --,663,161,180,643,0,Central AM & Carribean
2024,     --,     --,670,162,178,654,0,Central AM & Carribean
2025,     --,     --,680,164,176,668,0,Central AM & Carribean
2026,     --,     --,685,168,177,676,0,Central AM & Carribean
2027,     --,     --,690,171,175,686,0,Central AM & Carribean
2028,     --,     --,697,173,174,696,0,Central AM & Carribean
