calendar_year,production,imports,exports,total_consumption,ending_stocks,country
2016,2154,8,158,2004,0,Argentina
2017,2186,6,178,2014,0,Argentina
2018,2211,10,125,2096,0,Argentina
2019,2217,10,145,2082,0,Argentina
2020,2222,10,154,2078,0,Argentina
2021,2226,10,164,2072,0,Argentina
2022,2234,10,170,2074,0,Argentina
2023,2242,10,179,2074,0,Argentina
2024,2252,10,183,2079,0,Argentina
2025,2259,10,185,2083,0,Argentina
2026,2268,10,190,2088,0,Argentina
2027,2275,10,195,2089,0,Argentina
2028,2285,10,199,2096,0,Argentina
2016,1241,12,31,1222,0,Australia
2017,1241,10,39,1212,0,Australia
2018,1186,10,37,1159,0,Australia
2019,1207,10,37,1180,0,Australia
2020,1240,10,39,1211,0,Australia
2021,1271,10,39,1242,0,Australia
2022,1297,10,40,1267,0,Australia
2023,1327,10,41,1296,0,Australia
2024,1357,10,41,1326,0,Australia
2025,1388,10,42,1356,0,Australia
2026,1418,10,43,1385,0,Australia
2027,1446,10,44,1412,0,Australia
2028,1476,10,44,1442,0,Australia
2016,190,0,0,190,0,Bangladesh
2017,200,0,0,200,0,Bangladesh
2018,206,0,0,206,0,Bangladesh
2019,212,0,0,212,0,Bangladesh
2020,218,0,0,218,0,Bangladesh
2021,223,0,0,223,0,Bangladesh
2022,228,0,0,228,0,Bangladesh
2023,234,0,0,234,0,Bangladesh
2024,239,0,0,239,0,Bangladesh
2025,245,0,0,245,0,Bangladesh
2026,251,0,0,251,0,Bangladesh
2027,257,0,0,257,0,Bangladesh
2028,263,0,0,263,0,Bangladesh
2016,14119,3,3982,10140,0,Brazil
2017,14233,3,3943,10293,0,Brazil
2018,14199,1,3783,10417,0,Brazil
2019,14476,1,3875,10602,0,Brazil
2020,14876,1,4135,10742,0,Brazil
2021,15263,1,4369,10895,0,Brazil
2022,15612,1,4585,11028,0,Brazil
2023,16012,1,4825,11188,0,Brazil
2024,16430,1,5037,11394,0,Brazil
2025,16833,1,5241,11593,0,Brazil
2026,17213,1,5455,11759,0,Brazil
2027,17587,1,5661,11927,0,Brazil
2028,17965,1,5881,12085,0,Brazil
2016,1405,190,160,1436,43,Canada
2017,1408,177,161,1421,46,Canada
2018,1468,178,152,1485,55,Canada
2019,1505,183,158,1535,50,Canada
