crop_year,harvest_area,yield,production,imports,exports,total_consumption,food_use,feed_seed_and waste,crush,ending_stocks,country
 2016/17,17335,3.17,55000,1674,7026,47834,0,4525,43309,35464,Argentina
 2017/18,16300,2.32,37800,4000,2100,42194,0,4694,37500,32970,Argentina
 2018/19,19000,3.00,57000,2220,8000,47920,0,4920,43000,36270,Argentina
 2019/20,18839,3.03,57101,2275,9942,48586,0,5071,43515,37118,Argentina
 2020/21,19019,3.06,58116,2350,10374,49687,0,5126,44561,37523,Argentina
 2021/22,19255,3.08,59345,2425,10860,50663,0,5150,45513,37770,Argentina
 2022/23,19545,3.11,60839,2500,11486,51624,0,5180,46444,37999,Argentina
 2023/24,19883,3.14,62524,2575,12111,52725,0,5212,47513,38262,Argentina
 2024/25,20119,3.18,63930,2650,12515,53798,0,5238,48560,38529,Argentina
 2025/26,20340,3.21,65308,2725,12916,54850,0,5265,49585,38796,Argentina
 2026/27,20556,3.24,66681,2800,13345,55873,0,5291,50582,39059,Argentina
 2027/28,20756,3.28,68015,2875,13735,56899,0,5315,51584,39315,Argentina
 2028/29,20963,3.31,69382,2950,14087,57972,0,5340,52632,39588,Argentina
 2016/17,33900,3.38,114600,252,63137,43811,0,3400,40411,26462,Brazil
 2017/18,35100,3.41,119800,185,76193,47054,0,3454,43600,23200,Brazil
 2018/19,37500,3.21,120500,350,75000,46200,0,3500,42700,22850,Brazil
 2019/20,37985,3.23,122712,374,74249,47087,0,3815,43272,24600,Brazil
 2020/21,38526,3.26,125746,375,76464,48627,0,3966,44661,25630,Brazil
 2021/22,39251,3.30,129475,379,78030,49983,0,4130,45853,27471,Brazil
 2022/23,40389,3.34,134870,390,80757,51517,0,4315,47202,30457,Brazil
 2023/24,41378,3.38,139899,394,84546,53040,0,4500,48540,33164,Brazil
 2024/25,42215,3.42,144479,396,87611,54810,0,4731,50079,35618,Brazil
 2025/26,42869,3.46,148398,398,89896,57774,0,5993,51781,36744,Brazil
 2026/27,43471,3.50,152130,403,91989,59572,0,6210,53362,37716,Brazil
 2027/28,44086,3.54,156020,407,93721,61814,0,6624,55190,38608,Brazil
 2028/29,44847,3.58,160742,408,96142,64117,0,6959,57158,39499,Brazil
 2016/17,2232,2.96,6597,486,4592,2515,0,657,1858,277,Canada
 2017/18,2935,2.63,7717,487,4928,2921,0,984,1937,632,Canada
 2018/19,2550,2.94,7500,580,5500,2625,0,625,2000,587,Canada
 2019/20,2652,2.94,7798,573,5722,2648,0,619,2029,589,Canada
 2020/21,2739,2.95,8068,567,5933,2702,0,613,2089,589,Canada
 2021/22,2830,2.95,8346,561,6149,2758,0,606,2152,589,Canada
 2022/23,2915,2.96,8617,554,6354,2817,0,601,2216,589,Canada
 2023/24,2997,2.96,8876,548,6550,2872,0,594,2278,591,Canada
 2024/25,3080,2.97,9141,542,6765,2917,0,588,2329,592,Canada
 2025/26,3165,2.98,9416,537,7001,2951,0,583,2368,592,Canada
 2026/27,3239,2.98,9666,531,7205,2992,0,577,2415,592,Canada
 2027/28,3309,2.99,9909,525,7422,3012,0,570,2442,592,Canada
 2028/29,3377,3.01,10148,520,7632,3036,0,565,2471,592,Canada
 2016/17,17,2.53,43,368,0,412,5,7,400,6,Central AM & Carribean
 2017/18,17,2.53,43,382,0,425,5,7,413,6,Central AM & Carribean
 2018/19,17,2.53,43,401,0,443,5,7,431,7,Central AM & Carribean
 2019/20,17,2.56,43,410,0,453,5,7,441,7,Central AM & Carribean
 2020/21,17,2.61,44,420,0,464,5,7,452,7,Central AM & Carribean
 2021/22,17,2.65,45,430,0,475,5,7,463,8,Central AM & Carribean
 2022/23,17,2.70,47,445,0,492,5,7,480,8,Central AM & Carribean
 2023/24,18,2.72,48,461,0,508,5,7,496,8,Central AM & Carribean
 2024/25,18,2.73,49,476,0,525,5,8,512,8,Central AM & Carribean
 2025/26,18,2.74,49,493,0,542,5,8,529,8,Central AM & Carribean
 2026/27,18,2.75,50,510,0,559,5,8,546,9,Central AM & Carribean
 2027/28,18,2.77,51,526,0,576,5,8,563,9,Central AM & Carribean
 2028/29,19,2.79,52,543,0,595,5,8,581,9,Central AM & Carribean
 2016/17,7200,1.79,12900,93495,114,102800,11300,3500,88000,20391,China
 2017/18,7850,1.81,14200,94000,135,106000,12100,3900,90000,22456,China
 2018/19,8400,1.79,15000,94000,100,110600,12900,4200,93500,20756,China
