crop_year,crush,extraction_rate,production,imports,exports,total_consumption,food_and_other_use,feed_use,ending_stocks,country
 2016/17,43309,76.84,33280,0,31323,2853,0,2853,3335,Argentina
 2017/18,37500,75.33,28250,0,25250,3000,0,3000,3335,Argentina
 2018/19,43000,76.86,33050,0,29800,3185,0,3185,3400,Argentina
 2019/20,43515,76.86,33446,0,30194,3349,0,3349,3303,Argentina
 2020/21,44561,76.86,34249,0,30864,3472,0,3472,3216,Argentina
 2021/22,45513,76.86,34982,0,31462,3591,0,3591,3145,Argentina
 2022/23,46444,76.86,35697,0,32051,3709,0,3709,3082,Argentina
 2023/24,47513,76.86,36519,0,32750,3826,0,3826,3025,Argentina
 2024/25,48560,76.86,37324,0,33438,3941,0,3941,2970,Argentina
 2025/26,49585,76.86,38111,0,34105,4057,0,4057,2919,Argentina
 2026/27,50582,76.86,38877,0,34756,4174,0,4174,2866,Argentina
 2027/28,51584,76.86,39647,0,35407,4292,0,4292,2814,Argentina
 2028/29,52632,76.86,40453,0,36095,4411,0,4411,2761,Argentina
 2016/17,36,77.78,28,850,7,860,0,860,57,Australia
 2017/18,55,78.18,43,860,6,880,0,880,74,Australia
 2018/19,45,77.78,35,920,6,990,0,990,33,Australia
 2019/20,46,77.92,36,975,6,1005,0,1005,33,Australia
 2020/21,47,77.80,37,992,6,1023,0,1023,33,Australia
 2021/22,49,77.89,38,1005,6,1037,0,1037,33,Australia
 2022/23,51,77.62,39,1022,6,1055,0,1055,33,Australia
 2023/24,51,77.78,40,1038,6,1072,0,1072,33,Australia
 2024/25,52,77.76,40,1056,6,1090,0,1090,33,Australia
 2025/26,52,77.67,41,1076,6,1111,0,1111,33,Australia
 2026/27,53,77.82,41,1093,6,1128,0,1128,33,Australia
 2027/28,54,77.78,42,1111,6,1147,0,1147,33,Australia
 2028/29,55,77.82,43,1129,6,1166,0,1166,33,Australia
 2016/17,40411,77.40,31280,35,13762,16943,0,16943,3320,Brazil
 2017/18,43600,77.52,33800,30,16074,17500,0,17500,3576,Brazil
 2018/19,42700,77.52,33100,30,15000,18130,0,18130,3576,Brazil
 2019/20,43272,77.52,33544,30,15165,18237,0,18237,3748,Brazil
 2020/21,44661,77.52,34620,29,15831,18647,0,18647,3919,Brazil
 2021/22,45853,77.52,35544,29,16377,19012,0,19012,4103,Brazil
 2022/23,47202,77.52,36590,29,17082,19350,0,19350,4290,Brazil
 2023/24,48540,77.52,37627,29,17779,19711,0,19711,4456,Brazil
 2024/25,50079,77.52,38820,28,18331,20323,0,20323,4650,Brazil
 2025/26,51781,77.52,40139,28,18994,21007,0,21007,4816,Brazil
 2026/27,53362,77.52,41365,28,19681,21513,0,21513,5015,Brazil
 2027/28,55190,77.52,42782,27,20369,22283,0,22283,5172,Brazil
 2028/29,57158,77.52,44308,27,21056,23122,0,23122,5329,Brazil
 2016/17,1858,77.34,1437,821,291,1980,0,1980,21,Canada
 2017/18,1937,77.80,1507,1023,357,2150,0,2150,44,Canada
 2018/19,2000,77.75,1555,980,350,2200,0,2200,29,Canada
 2019/20,2029,77.77,1578,1046,354,2271,0,2271,29,Canada
 2020/21,2089,77.79,1625,1069,357,2337,0,2337,29,Canada
 2021/22,2152,77.74,1673,1074,361,2386,0,2386,29,Canada
 2022/23,2216,77.75,1723,1079,364,2438,0,2438,29,Canada
 2023/24,2278,77.74,1771,1084,368,2487,0,2487,29,Canada
 2024/25,2329,77.76,1811,1094,372,2534,0,2534,29,Canada
 2025/26,2368,77.74,1841,1097,375,2563,0,2563,29,Canada
 2026/27,2415,77.76,1878,1106,379,2605,0,2605,29,Canada
 2027/28,2442,77.72,1898,1113,383,2628,0,2628,29,Canada
 2028/29,2471,77.78,1922,1120,387,2655,0,2655,29,Canada
 2016/17,400,78.75,315,1809,6,2150,0,2150,44,Central AM & Carribean
 2017/18,413,78.93,326,1906,6,2217,0,2217,53,Central AM & Carribean
 2018/19,431,78.89,340,1991,6,2325,0,2325,53,Central AM & Carribean
 2019/20,441,78.87,348,2044,6,2385,0,2385,54,Central AM & Carribean
 2020/21,452,78.88,356,2097,6,2446,0,2446,54,Central AM & Carribean
 2021/22,463,78.90,365,2146,6,2504,0,2504,55,Central AM & Carribean
 2022/23,480,78.88,378,2198,7,2569,0,2569,56,Central AM & Carribean
 2023/24,496,78.89,391,2250,7,2634,0,2634,56,Central AM & Carribean
 2024/25,512,78.89,404,2314,7,2711,0,2711,57,Central AM & Carribean
 2025/26,529,78.88,417,2371,7,2781,0,2781,58,Central AM & Carribean
 2026/27,546,78.89,431,2426,7,2850,0,2850,59,Central AM & Carribean
 2027/28,563,78.89,444,2477,7,2914,0,2914,59,Central AM & Carribean
 2028/29,581,78.89,459,2526,7,2977,0,2977,60,Central AM & Carribean
 2016/17,88000,79.20,69696,61,1111,68646,1050,67596,0,China
 2017/18,90000,79.20,71280,130,1000,70410,1100,69310,0,China
 2018/19,93500,79.20,74052,30,900,73182,1150,72032,0,China
 2019/20,96357,79.21,76323,34,818,75539,1155,74384,0,China
 2020/21,99234,79.22,78609,34,786,77857,1159,76698,0,China
 2021/22,101692,79.22,80564,32,764,79832,1162,78670,0,China
