crop_year,crush,extraction_rate,production,imports,exports,total_consumption,food_use,industry_feed_and_other_use,ending_stocks,country
 2016/17,43309,19.38,8395,0,5387,2985,435,2550,283,Argentina
 2017/18,37500,19.49,7310,0,4130,3205,455,2750,258,Argentina
 2018/19,43000,19.51,8390,0,5100,3268,468,2800,280,Argentina
 2019/20,43515,19.53,8499,0,5498,3001,474,2527,280,Argentina
 2020/21,44561,19.55,8712,0,5609,3103,480,2624,280,Argentina
 2021/22,45513,19.57,8907,0,5696,3209,486,2723,282,Argentina
 2022/23,46444,19.59,9098,0,5769,3329,491,2838,282,Argentina
 2023/24,47513,19.61,9317,0,5813,3505,497,3008,281,Argentina
 2024/25,48560,19.63,9532,0,5858,3674,503,3171,281,Argentina
 2025/26,49585,19.65,9743,0,5923,3819,508,3311,282,Argentina
 2026/27,50582,19.67,9949,0,5991,3958,513,3444,283,Argentina
 2027/28,51584,19.69,10156,0,6073,4082,519,3563,284,Argentina
 2028/29,52632,19.71,10372,0,6158,4213,525,3688,284,Argentina
 2016/17,36,16.67,6,26,3,30,30,0,0,Australia
 2017/18,55,16.36,9,27,4,32,32,0,0,Australia
 2018/19,45,15.56,7,30,4,33,33,0,0,Australia
 2019/20,46,15.56,7,30,4,33,33,0,0,Australia
 2020/21,47,15.56,7,30,4,34,34,0,0,Australia
 2021/22,49,15.56,8,31,4,35,35,0,0,Australia
 2022/23,51,15.54,8,32,4,35,35,0,0,Australia
 2023/24,51,15.56,8,32,4,36,36,0,0,Australia
 2024/25,52,15.55,8,33,4,37,37,0,0,Australia
 2025/26,52,15.55,8,33,4,38,38,0,0,Australia
 2026/27,53,15.56,8,34,4,38,38,0,0,Australia
 2027/28,54,15.56,8,35,4,39,39,0,0,Australia
 2028/29,55,15.56,9,36,4,40,40,0,0,Australia
 2016/17,1100,17.73,195,830,0,1005,900,105,95,Bangladesh
 2017/18,1125,17.78,200,780,0,990,880,110,85,Bangladesh
 2018/19,1300,17.85,232,780,0,1000,880,120,97,Bangladesh
 2019/20,1387,17.89,248,789,0,1034,907,127,100,Bangladesh
 2020/21,1481,17.93,266,802,0,1064,932,132,103,Bangladesh
 2021/22,1582,17.97,284,806,0,1087,949,138,107,Bangladesh
 2022/23,1689,18.01,304,816,0,1117,974,143,110,Bangladesh
 2023/24,1792,18.05,323,828,0,1148,998,150,113,Bangladesh
 2024/25,1885,18.09,341,836,0,1174,1019,155,117,Bangladesh
 2025/26,1974,18.13,358,847,0,1202,1040,162,120,Bangladesh
 2026/27,2069,18.17,376,859,0,1231,1063,168,124,Bangladesh
 2027/28,2171,18.21,395,871,0,1262,1087,175,128,Bangladesh
 2028/29,2279,18.25,416,882,0,1294,1112,182,133,Bangladesh
 2016/17,40411,19.19,7755,60,1241,6570,3660,2910,291,Brazil
 2017/18,43600,19.20,8370,60,1520,6935,3695,3240,266,Brazil
 2018/19,42700,19.19,8195,60,1275,7035,3720,3315,211,Brazil
 2019/20,43272,19.19,8305,61,1128,7232,3833,3399,217,Brazil
 2020/21,44661,19.19,8571,61,1354,7274,3822,3452,220,Brazil
 2021/22,45853,19.19,8800,61,1542,7316,3799,3517,224,Brazil
 2022/23,47202,19.19,9059,62,1729,7389,3807,3582,227,Brazil
 2023/24,48540,19.19,9316,64,1891,7485,3836,3649,231,Brazil
 2024/25,50079,19.19,9611,65,2001,7671,3956,3715,234,Brazil
 2025/26,51781,19.19,9938,67,2104,7898,4098,3800,238,Brazil
 2026/27,53362,19.19,10241,68,2221,8085,4191,3894,241,Brazil
 2027/28,55190,19.19,10592,69,2346,8312,4305,4007,243,Brazil
 2028/29,57158,19.19,10970,71,2459,8579,4455,4124,246,Brazil
 2016/17,1858,18.84,350,23,175,206,206,0,7,Canada
 2017/18,1937,18.33,355,21,157,218,218,0,8,Canada
 2018/19,2000,18.30,366,25,150,241,241,0,8,Canada
 2019/20,2029,18.30,371,26,152,246,246,0,8,Canada
 2020/21,2089,18.30,382,26,153,255,255,0,8,Canada
 2021/22,2152,18.30,394,25,155,264,264,0,8,Canada
 2022/23,2216,18.30,406,24,156,273,273,0,8,Canada
 2023/24,2278,18.30,417,24,158,283,283,0,8,Canada
 2024/25,2329,18.30,426,23,159,290,290,0,8,Canada
 2025/26,2368,18.30,433,22,161,295,295,0,8,Canada
 2026/27,2415,18.30,442,22,162,301,301,0,8,Canada
 2027/28,2442,18.30,447,21,164,303,303,0,8,Canada
 2028/29,2471,18.30,452,20,166,307,307,0,8,Canada
 2016/17,400,18.25,73,416,15,435,435,0,58,Central AM & Carribean
 2017/18,413,18.16,75,394,14,456,456,0,57,Central AM & Carribean
 2018/19,431,18.10,78,404,16,471,471,0,52,Central AM & Carribean
 2019/20,441,18.10,80,422,16,485,485,0,52,Central AM & Carribean
 2020/21,452,18.10,82,431,16,496,496,0,52,Central AM & Carribean
 2021/22,463,18.10,84,434,16,501,501,0,52,Central AM & Carribean
 2022/23,480,18.10,87,443,16,513,513,0,52,Central AM & Carribean
 2023/24,496,18.10,90,453,16,527,527,0,52,Central AM & Carribean
 2024/25,512,18.10,93,466,16,542,542,0,52,Central AM & Carribean
 2025/26,529,18.10,96,473,16,552,552,0,53,Central AM & Carribean
 2026/27,546,18.10,99,481,16,563,563,0,53,Central AM & Carribean
 2027/28,563,18.10,102,488,17,573,573,0,54,Central AM & Carribean
 2028/29,581,18.10,105,496,17,584,584,0,54,Central AM & Carribean
 2016/17,88000,17.92,15770,711,118,16350,16350,0,536,China
 2017/18,90000,17.92,16128,450,135,16550,16550,0,429,China
 2018/19,93500,17.92,16755,700,125,17300,17300,0,459,China
 2019/20,96357,17.92,17267,970,125,18124,18124,0,447,China
 2020/21,99234,17.92,17782,1043,126,18689,18689,0,457,China
 2021/22,101692,17.92,18223,1132,126,19235,19235,0,451,China
 2022/23,105325,17.92,18874,1208,126,19953,19953,0,454,China
 2023/24,109942,17.92,19701,1268,128,20829,20829,0,466,China
 2024/25,113697,17.92,20374,1319,128,21548,21548,0,483,China
 2025/26,116929,17.92,20953,1371,128,22185,22185,0,494,China
 2026/27,119733,17.92,21456,1435,130,22755,22755,0,501,China
 2027/28,122855,17.92,22015,1501,129,23380,23380,0,508,China
 2028/29,126220,17.92,22618,1551,129,24031,24031,0,517,China
 2016/17,120,18.33,22,105,0,113,113,0,14,Cuba
 2017/18,120,18.33,22,92,0,118,118,0,10,Cuba
 2018/19,125,18.40,23,97,0,122,122,0,8,Cuba
 2019/20,130,18.40,24,101,0,125,125,0,8,Cuba
 2020/21,136,18.40,25,103,0,128,128,0,8,Cuba
 2021/22,141,18.40,26,104,0,130,130,0,9,Cuba
 2022/23,149,18.40,27,106,0,133,133,0,9,Cuba
 2023/24,158,18.40,29,108,0,137,137,0,9,Cuba
 2024/25,166,18.40,31,110,0,140,140,0,10,Cuba
 2025/26,174,18.40,32,111,0,142,142,0,10,Cuba
 2026/27,184,18.40,34,112,0,145,145,0,10,Cuba
 2027/28,193,18.40,36,113,0,148,148,0,11,Cuba
 2028/29,202,18.40,37,114,0,151,151,0,11,Cuba
 2016/17,     --,     --,     --,511,0,511,511,0,0,West Africa
 2017/18,     --,     --,     --,524,0,524,524,0,0,West Africa
 2018/19,     --,     --,     --,537,0,537,537,0,0,West Africa
 2019/20,     --,     --,     --,551,0,551,551,0,0,West Africa
 2020/21,     --,     --,     --,565,0,565,565,0,0,West Africa
 2021/22,     --,     --,     --,579,0,579,579,0,0,West Africa
 2022/23,     --,     --,     --,593,0,593,593,0,0,West Africa
 2023/24,     --,     --,     --,608,0,608,608,0,0,West Africa
 2024/25,     --,     --,     --,626,0,626,626,0,0,West Africa
 2025/26,     --,     --,     --,637,0,637,637,0,0,West Africa
 2026/27,     --,     --,     --,652,0,652,652,0,0,West Africa
 2027/28,     --,     --,     --,668,0,668,668,0,0,West Africa
 2028/29,     --,     --,     --,683,0,683,683,0,0,West Africa
 2016/17,2200,18.18,400,246,53,610,600,10,33,Egypt
 2017/18,3200,18.19,582,245,40,760,750,10,60,Egypt
 2018/19,3300,18.18,600,250,50,810,800,10,50,Egypt
 2019/20,3523,18.18,641,277,50,867,857,10,51,Egypt
 2020/21,3668,18.18,667,297,50,913,903,10,52,Egypt
 2021/22,3805,18.18,692,308,50,950,940,9,52,Egypt
 2022/23,3979,18.18,723,316,50,989,979,10,52,Egypt
 2023/24,4117,18.18,749,326,50,1024,1014,10,53,Egypt
 2024/25,4256,18.18,774,335,50,1058,1048,10,53,Egypt
 2025/26,4388,18.18,798,343,50,1091,1081,10,53,Egypt
 2026/27,4535,18.18,825,351,50,1125,1115,10,53,Egypt
 2027/28,4662,18.18,848,361,50,1158,1148,10,53,Egypt
 2028/29,4777,18.18,869,374,50,1192,1182,10,54,Egypt
 2016/17,14400,19.00,2736,285,831,2205,1300,905,149,EU
 2017/18,14900,19.13,2850,280,900,2225,1300,925,154,EU
 2018/19,16600,19.00,3154,200,1000,2255,1300,955,253,EU
 2019/20,16536,19.00,3142,280,1106,2316,1355,961,253,EU
 2020/21,16566,19.00,3147,280,1113,2314,1364,950,253,EU
 2021/22,16556,19.00,3146,280,1120,2306,1367,939,253,EU
 2022/23,16555,19.00,3145,280,1127,2298,1370,928,254,EU
 2023/24,16542,19.00,3143,280,1133,2290,1374,916,253,EU
 2024/25,16536,19.00,3142,280,1140,2282,1378,904,253,EU
 2025/26,16513,19.00,3137,280,1147,2270,1378,892,253,EU
 2026/27,16498,19.00,3135,280,1154,2262,1380,882,253,EU
 2027/28,16464,19.00,3128,280,1161,2247,1378,869,253,EU
 2028/29,16467,19.00,3129,280,1168,2241,1383,858,253,EU
 2016/17,9000,18.00,1620,3534,1,5200,5200,0,430,India
 2017/18,7600,18.00,1368,3000,2,4600,4600,0,196,India
 2018/19,9000,18.00,1620,3400,5,4800,4800,0,411,India
 2019/20,9829,18.00,1769,3216,5,4983,4983,0,408,India
 2020/21,10233,18.00,1842,3306,5,5133,5133,0,418,India
 2021/22,10489,18.00,1888,3397,5,5269,5269,0,429,India
 2022/23,10800,18.00,1944,3488,5,5416,5416,0,440,India
 2023/24,11091,18.00,1996,3573,5,5552,5552,0,452,India
 2024/25,11338,18.00,2041,3678,5,5702,5702,0,464,India
 2025/26,11590,18.00,2086,3761,5,5829,5829,0,477,India
 2026/27,11818,18.00,2127,3850,5,5959,5959,0,490,India
 2027/28,12064,18.00,2172,3941,5,6094,6094,0,504,India
 2028/29,12305,18.00,2215,4031,5,6227,6227,0,519,India
 2016/17,2050,18.00,369,257,3,700,700,0,57,Iran
 2017/18,2650,18.00,477,200,3,710,710,0,21,Iran
 2018/19,2750,18.00,495,250,4,720,720,0,42,Iran
 2019/20,2765,18.00,498,147,4,639,639,0,43,Iran
 2020/21,2857,18.00,514,129,4,638,638,0,44,Iran
 2021/22,2960,18.00,533,107,4,634,634,0,46,Iran
 2022/23,3063,18.00,551,95,4,641,641,0,47,Iran
 2023/24,3154,18.00,568,85,4,648,648,0,49,Iran
 2024/25,3244,18.00,584,74,4,652,652,0,50,Iran
 2025/26,3334,18.00,600,66,4,660,660,0,52,Iran
 2026/27,3431,18.00,618,54,4,666,666,0,54,Iran
 2027/28,3520,18.00,634,46,4,674,674,0,55,Iran
 2028/29,3608,18.00,650,40,4,683,683,0,57,Iran
 2016/17,2392,19.48,466,5,0,470,430,40,16,Japan
 2017/18,2350,19.36,455,5,0,463,423,40,13,Japan
 2018/19,2350,19.36,455,5,0,455,420,35,18,Japan
 2019/20,2342,19.36,454,4,1,457,421,35,18,Japan
 2020/21,2336,19.36,452,5,1,456,420,36,18,Japan
 2021/22,2336,19.36,452,5,1,456,420,36,18,Japan
 2022/23,2343,19.36,454,5,1,457,420,37,19,Japan
 2023/24,2343,19.36,454,6,1,458,421,37,19,Japan
 2024/25,2340,19.36,453,6,1,458,420,38,19,Japan
 2025/26,2342,19.36,453,6,1,458,420,38,19,Japan
 2026/27,2341,19.36,453,6,1,458,419,39,19,Japan
 2027/28,2342,19.36,453,6,1,458,419,39,19,Japan
 2028/29,2343,19.36,454,5,1,458,418,40,20,Japan
 2016/17,990,17.68,175,306,11,450,400,50,60,South Korea
 2017/18,1055,17.82,188,285,5,470,420,50,58,South Korea
 2018/19,1130,17.88,202,300,5,495,445,50,60,South Korea
 2019/20,1155,17.87,206,291,5,502,453,49,50,South Korea
 2020/21,1166,17.88,209,315,5,513,463,50,55,South Korea
 2021/22,1184,17.88,212,324,5,530,479,51,56,South Korea
 2022/23,1203,17.89,215,333,5,543,491,52,56,South Korea
 2023/24,1217,17.89,218,342,5,554,501,53,56,South Korea
 2024/25,1229,17.89,220,350,5,564,511,54,56,South Korea
 2025/26,1243,17.88,222,359,5,576,521,55,57,South Korea
 2026/27,1256,17.90,225,367,5,587,531,56,57,South Korea
 2027/28,1270,17.90,227,376,5,598,540,58,57,South Korea
 2028/29,1283,17.90,230,385,5,610,551,59,57,South Korea
 2016/17,541,17.74,96,138,137,80,80,0,32,Malaysia
 2017/18,590,17.80,105,120,135,85,85,0,37,Malaysia
 2018/19,610,17.38,106,120,137,90,90,0,36,Malaysia
 2019/20,621,17.38,108,121,135,92,92,0,38,Malaysia
 2020/21,626,17.39,109,123,133,97,97,0,40,Malaysia
 2021/22,631,17.38,110,125,134,100,100,0,41,Malaysia
 2022/23,648,17.38,113,126,135,104,104,0,42,Malaysia
 2023/24,656,17.38,114,128,136,107,107,0,41,Malaysia
 2024/25,662,17.37,115,130,136,109,109,0,41,Malaysia
 2025/26,670,17.38,116,132,137,112,112,0,40,Malaysia
 2026/27,678,17.38,118,134,137,115,115,0,40,Malaysia
 2027/28,687,17.37,119,137,138,118,118,0,40,Malaysia
 2028/29,695,17.37,121,139,139,121,121,0,39,Malaysia
 2016/17,4600,17.83,820,255,24,1050,1050,0,192,Mexico
 2017/18,5000,17.84,892,175,4,1080,1080,0,175,Mexico
 2018/19,5200,17.88,930,230,4,1160,1160,0,171,Mexico
 2019/20,5371,17.89,961,240,4,1200,1200,0,168,Mexico
 2020/21,5443,17.88,973,245,4,1213,1213,0,169,Mexico
 2021/22,5520,17.88,987,249,4,1230,1230,0,171,Mexico
 2022/23,5623,17.89,1006,253,4,1254,1254,0,173,Mexico
 2023/24,5718,17.89,1023,258,4,1275,1275,0,175,Mexico
 2024/25,5810,17.88,1039,264,4,1297,1297,0,176,Mexico
 2025/26,5899,17.88,1055,267,4,1317,1317,0,178,Mexico
 2026/27,6001,17.88,1073,271,4,1338,1338,0,180,Mexico
 2027/28,6086,17.89,1089,276,4,1360,1360,0,182,Mexico
 2028/29,6164,17.88,1102,280,4,1377,1377,0,183,Mexico
 2016/17,188,17.55,33,153,10,163,163,0,20,Other Asia & Oceania
 2017/18,188,17.55,33,149,11,171,171,0,20,Other Asia & Oceania
 2018/19,179,17.32,31,160,10,183,183,0,18,Other Asia & Oceania
 2019/20,179,17.31,31,168,10,190,190,0,17,Other Asia & Oceania
 2020/21,185,17.32,32,173,10,193,193,0,19,Other Asia & Oceania
 2021/22,187,17.31,32,174,10,195,195,0,20,Other Asia & Oceania
 2022/23,191,17.32,33,178,10,200,200,0,21,Other Asia & Oceania
 2023/24,195,17.32,34,182,10,205,205,0,22,Other Asia & Oceania
 2024/25,197,17.32,34,186,10,209,209,0,23,Other Asia & Oceania
 2025/26,199,17.32,34,189,10,212,212,0,24,Other Asia & Oceania
 2026/27,200,17.32,35,192,10,216,216,0,25,Other Asia & Oceania
 2027/28,203,17.32,35,196,10,220,220,0,26,Other Asia & Oceania
 2028/29,206,17.32,36,201,10,225,225,0,28,Other Asia & Oceania
 2016/17,933,18.44,172,16,143,49,44,5,1,Other Europe
 2017/18,965,18.34,177,16,112,61,56,5,21,Other Europe
 2018/19,1049,18.30,192,16,142,67,62,5,20,Other Europe
 2019/20,1048,18.30,192,17,144,65,60,5,20,Other Europe
 2020/21,1076,18.31,197,18,147,68,63,5,20,Other Europe
 2021/22,1103,18.30,202,18,149,71,66,5,20,Other Europe
 2022/23,1118,18.31,205,18,151,72,67,5,20,Other Europe
 2023/24,1133,18.30,207,18,152,74,69,5,20,Other Europe
 2024/25,1147,18.31,210,19,154,75,70,5,20,Other Europe
 2025/26,1162,18.30,213,19,156,76,71,5,20,Other Europe
 2026/27,1174,18.30,215,20,158,77,72,5,20,Other Europe
 2027/28,1187,18.31,217,20,160,78,73,5,20,Other Europe
 2028/29,1200,18.30,220,21,162,79,74,5,20,Other Europe
 2016/17,389,23.14,90,70,1,167,125,42,7,Other Middle East
 2017/18,423,22.93,97,78,1,174,132,42,7,Other Middle East
 2018/19,438,22.83,100,80,1,178,138,40,8,Other Middle East
 2019/20,450,22.82,103,82,1,182,142,40,10,Other Middle East
 2020/21,461,22.82,105,84,1,186,146,40,12,Other Middle East
 2021/22,472,22.84,108,85,1,189,149,40,14,Other Middle East
 2022/23,483,22.86,110,87,1,194,153,40,16,Other Middle East
 2023/24,492,22.83,112,89,1,198,158,41,18,Other Middle East
 2024/25,502,22.83,115,91,1,202,162,41,21,Other Middle East
 2025/26,513,22.83,117,93,1,207,166,41,23,Other Middle East
 2026/27,524,22.84,120,94,1,211,170,41,25,Other Middle East
 2027/28,535,22.84,122,95,1,214,173,41,27,Other Middle East
 2028/29,544,22.83,124,97,1,218,177,41,29,Other Middle East
 2016/17,567,18.34,104,1314,38,1415,1415,0,78,Other North Africa
 2017/18,690,18.41,127,1340,36,1435,1435,0,74,Other North Africa
 2018/19,790,18.48,146,1405,38,1510,1510,0,77,Other North Africa
 2019/20,841,18.52,156,1430,38,1547,1547,0,78,Other North Africa
 2020/21,853,18.56,158,1458,38,1577,1577,0,79,Other North Africa
 2021/22,868,18.60,161,1491,39,1612,1612,0,80,Other North Africa
 2022/23,887,18.64,165,1532,39,1657,1657,0,81,Other North Africa
 2023/24,904,18.69,169,1561,39,1690,1690,0,82,Other North Africa
